REF_DATE,GEO,DGUID,Components of population growth,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2017/2018,"Fredericton (CMA), New Brunswick",2021S0503320,Deaths,Total - gender,All ages,Persons,249,units,0,v1590016815,8.2.1.1,861
2018/2019,"Fredericton (CMA), New Brunswick",2021S0503320,Deaths,Total - gender,All ages,Persons,249,units,0,v1590016815,8.2.1.1,845
2019/2020,"Fredericton (CMA), New Brunswick",2021S0503320,Deaths,Total - gender,All ages,Persons,249,units,0,v1590016815,8.2.1.1,861
2020/2021,"Fredericton (CMA), New Brunswick",2021S0503320,Deaths,Total - gender,All ages,Persons,249,units,0,v1590016815,8.2.1.1,843
2021/2022,"Fredericton (CMA), New Brunswick",2021S0503320,Deaths,Total - gender,All ages,Persons,249,units,0,v1590016815,8.2.1.1,1001
2022/2023,"Fredericton (CMA), New Brunswick",2021S0503320,Deaths,Total - gender,All ages,Persons,249,units,0,v1590016815,8.2.1.1,1044
2023/2024,"Fredericton (CMA), New Brunswick",2021S0503320,Deaths,Total - gender,All ages,Persons,249,units,0,v1590016815,8.2.1.1,1076
2017/2018,"Fredericton (CMA), New Brunswick",2021S0503320,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590017157,8.3.1.1,1262
2018/2019,"Fredericton (CMA), New Brunswick",2021S0503320,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590017157,8.3.1.1,1444
2019/2020,"Fredericton (CMA), New Brunswick",2021S0503320,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590017157,8.3.1.1,1086
2020/2021,"Fredericton (CMA), New Brunswick",2021S0503320,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590017157,8.3.1.1,548
2021/2022,"Fredericton (CMA), New Brunswick",2021S0503320,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590017157,8.3.1.1,1305
2022/2023,"Fredericton (CMA), New Brunswick",2021S0503320,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590017157,8.3.1.1,1787
2023/2024,"Fredericton (CMA), New Brunswick",2021S0503320,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590017157,8.3.1.1,2118
2017/2018,"Fredericton (CMA), New Brunswick",2021S0503320,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590017841,8.5.1.1,207
